word,tfidf,tf
socket sendmsg,12.581002766235118,15.078304713601346
socket socket,6.320999315994737,7.293745532965133
ioctl ioctl,6.1829166726032065,8.776478037207996
socket ioctl,6.0486122863664615,6.8364577580460955
ioctl sendmsg,5.579590142345477,5.973636070295853
socket ioctl sendmsg,5.335548558346555,5.232312818899691
socket socket ioctl,5.318730246274264,5.23231281889969
socket socket ioctl sendmsg,5.17038573394863,4.898979485566357
syz_open_dev ioctl,5.07466416793478,5.832318466770006
openat write,4.934243848165477,5.827104346868768
socket setsockopt,4.124785980699577,4.654623118638517
openat ioctl,4.097518675215215,4.317013858443759
syz_io_uring_setup syz_io_uring_submit,3.41451856364722,3.6329931618554525
sendmsg socket,3.1868012958962364,3.3217225823297953
syz_mount_image openat,2.7753278314090917,2.879497610893732
sendmsg socket sendmsg,2.683113829341003,2.3795192333068034
socket sendmsg socket sendmsg,2.534052329066219,2.1213203435596424
socket sendmsg socket,2.534052329066219,2.1213203435596424
openat ioctl ioctl,2.4306534327094806,2.276573743923878
write write,2.416146607300955,2.6675049346939685
socket bind,2.4070632512086165,3.1113266392207497
syz_open_dev ioctl ioctl,2.07855582446589,2.158690601760126
socketpair ioctl,1.8629918101307184,1.918438621738695
syz_init_net_socket connect,1.706893399377553,1.746381120135329
openat write write,1.6923146057246559,1.5082539289725254
write ioctl,1.6576227325083344,2.0489023465028904
perf_event_open io_uring_setup,1.5626191400684606,1.5773502691896257
syz_usb_connect syz_usb_control_io,1.5174128382792063,1.5758689583696663
ioctl socket,1.4901439137726593,1.6793753764720023
openat openat,1.4631414012079258,1.755367673458807
sendmsg sendmsg,1.4622464067431455,1.5817067417913744
socket connect,1.4580533448586237,1.5629488288431146
syz_mount_image syz_mount_image,1.4275661557888062,1.4082482904638631
syz_io_uring_submit io_uring_enter,1.4194744191653674,1.6662276937553815
getsockname socket,1.398833051576478,1.4082482904638631
syz_mount_image mount,1.3836016214582125,1.4082482904638631
getsockname sendmsg,1.3534044740469486,1.409272506573701
ioctl ioctl ioctl,1.3268817978073943,1.2884094112873712
syz_usb_ep_write syz_usb_ep_write,1.2960368038512606,1.3306295642645263
ioctl write,1.290492387009115,1.607854478266451
mmap socket,1.2608180646293439,1.2850425973524238
bind getsockname,1.2373431923495777,1.2182178902359924
socket bind getsockname,1.2373431923495777,1.2182178902359924
open open,1.2194404421214855,1.4727911721078373
socket sendmsg getsockname sendmsg,1.2023824838411943,1.191054616337709
sendmsg getsockname,1.2023824838411943,1.191054616337709
sendmsg getsockname sendmsg sendmsg,1.2023824838411943,1.191054616337709
socket sendmsg getsockname,1.2023824838411943,1.191054616337709
sendmsg getsockname sendmsg,1.2023824838411943,1.191054616337709
getsockname sendmsg sendmsg,1.2023824838411943,1.191054616337709
syz_mount_image creat,1.1735484755472294,1.3690614659261766
syz_usb_connect syz_usb_connect,1.1339416646683613,1.2440169358562925
setsockopt socket,1.1139899176251316,1.1912091375446017
io_uring_setup io_uring_register,1.1115801057905599,1.1547005383792517
getsockname socket sendmsg,1.079672515360963,1.0
bind getsockname socket,1.079672515360963,1.0
bind getsockname socket sendmsg,1.079672515360963,1.0
socket bind getsockname socket,1.079672515360963,1.0
sendmmsg io_uring_enter,1.0774872782655,1.1051717155225391
syz_io_uring_submit sendmmsg,1.0774872782655,1.1051717155225391
syz_io_uring_submit sendmmsg io_uring_enter,1.0774872782655,1.1051717155225391
syz_mount_image open,1.076112379175089,1.2595855410639665
openat mount,1.0556798825780924,1.2344501281577094
open mmap,1.050170923762327,1.2190120652094747
syz_open_dev memfd_create,1.0218499543485606,1.1038141554252863
ioctl openat,1.0035082531177975,1.0347407758041238
syz_genetlink_get_family_id sendmsg,1.0028980712147368,1.1334576460813184
syz_open_dev read,1.0,1.0
syz_usbip_server_init pkey_mprotect,1.0,1.0
syz_open_dev syz_usbip_server_init,1.0,1.0
perf_event_open perf_event_open,1.0,1.0
perf_event_open mmap,1.0,1.0
symlink syz_mount_image,1.0,1.0
quotactl syz_mount_image,1.0,1.0
syz_mount_image unlink,1.0,1.0
mkdirat mount,1.0,1.0
syz_io_uring_setup io_uring_enter,1.0,1.0
socket socket sendmsg,0.990306981372668,0.9328557265905477
socket socket sendmsg getsockname,0.990306981372668,0.9328557265905477
connect recvmmsg,0.9839706873671525,0.9855985596534889
socket connect recvmmsg,0.9839706873671525,0.9855985596534889
mmap socket setsockopt,0.9710330802244826,0.8788616137673895
socketpair socketpair,0.9582171557577868,0.9855985596534889
ioctl socket sendmsg,0.9511549207207864,0.8164965809277261
socket ioctl socket sendmsg,0.9511549207207864,0.8164965809277261
socket ioctl socket,0.9511549207207864,0.8164965809277261
syz_open_dev write,0.9193766321916982,0.9106836025229592
syz_mount_image open open,0.8869092411944194,1.0013866513168055
ioctl syz_open_dev,0.8747377342254621,0.8542879053767678
syz_io_uring_setup syz_io_uring_submit sendmmsg io_uring_enter,0.8616253432466421,0.8164965809277261
syz_io_uring_setup syz_io_uring_submit sendmmsg,0.8616253432466421,0.8164965809277261
syz_io_uring_setup syz_memcpy_off,0.8453161534414396,0.9246460699581852
syz_mount_image openat write,0.843708738591872,0.8794976108937314
chdir openat,0.842409217962397,0.9340317135270717
socket bind listen,0.8407035638419638,0.8660254037844388
bind listen,0.8407035638419638,0.8660254037844388
ioctl sendmsg socket,0.8308877033554571,0.8097501133164868
socket syz_genetlink_get_family_id,0.7891882428553006,0.8117323587552803
openat writev,0.7738489679446522,0.8130525295851417
syz_usb_ep_write syz_usb_ep_write syz_usb_ep_write,0.767618288409895,0.7865825946504296
syz_open_dev memfd_create pwritev ioctl,0.7569322242121483,0.770480822091953
pwritev ioctl,0.7569322242121483,0.770480822091953
syz_open_dev memfd_create pwritev,0.7569322242121483,0.770480822091953
memfd_create pwritev,0.7569322242121483,0.770480822091953
memfd_create pwritev ioctl,0.7569322242121483,0.770480822091953
ioctl sendfile,0.7569322242121483,0.770480822091953
socket socket socket,0.7536228610134224,0.6746568368433867
socket socket socket sendmsg,0.7536228610134224,0.6746568368433867
syz_mount_image chdir,0.75112095449017,0.8364006405892541
syz_init_net_socket connect shutdown,0.747542931257162,0.7463811201353292
connect shutdown,0.747542931257162,0.7463811201353292
syz_io_uring_submit syz_io_uring_submit,0.7395661791285177,0.7415816237971964
syz_io_uring_submit syz_io_uring_submit io_uring_enter,0.7395661791285177,0.7415816237971964
socket syz_open_dev,0.7362451507609141,0.7395143169183676
sendmsg sendmmsg,0.7328577694619537,0.7000235777331324
syz_usb_control_io syz_usb_control_io,0.7325483056407887,0.7276068751089989
syz_init_net_socket syz_genetlink_get_family_id,0.7262945871795154,0.7415816237971964
syz_init_net_socket syz_init_net_socket syz_genetlink_get_family_id,0.7262945871795154,0.7415816237971964
syz_init_net_socket syz_init_net_socket,0.7262945871795154,0.7415816237971964
socket socketpair,0.7261034060717241,0.7826399425884616
syz_mount_image setxattr,0.7225460313242499,0.7618016810571369
setxattr setxattr,0.7132540129962059,0.7071067811865475
syz_mount_image creat open,0.7040732677857299,0.7425952852263211
creat open,0.7040732677857299,0.7425952852263211
syz_open_dev fcntl,0.6926262344854646,0.721208405126594
socket syz_genetlink_get_family_id ioctl,0.6811617559190362,0.6555585968666742
syz_genetlink_get_family_id ioctl,0.6811617559190362,0.6555585968666742
creat ftruncate,0.6791800488856441,0.7346156697303146
syz_open_dev ioctl syz_open_dev,0.6648742984717813,0.6117522803404348
sendmsg socket sendmmsg,0.6618876856629439,0.5915322230804945
socket sendmmsg,0.6618876856629439,0.5915322230804945
syz_open_dev write ioctl,0.6449195054575635,0.5773502691896258
open mmap fallocate,0.6431202043533985,0.6721380408675006
mmap fallocate,0.6431202043533985,0.6721380408675006
write syz_open_pts ioctl,0.624049022229572,0.6220084679281462
syz_open_pts ioctl,0.624049022229572,0.6220084679281462
write syz_open_pts,0.624049022229572,0.6220084679281462
ioctl write syz_open_pts ioctl,0.624049022229572,0.6220084679281462
ioctl write syz_open_pts,0.624049022229572,0.6220084679281462
ftruncate sendfile,0.6230818168547537,0.6764753359777324
syz_usb_connect_ath9k syz_usb_ep_write,0.622801394426742,0.650783915500196
openat write mmap,0.6152149366745824,0.6636994101597435
write mmap,0.6152149366745824,0.6636994101597435
ftruncate ioctl,0.6144364693813602,0.6220084679281462
syz_open_dev socketpair,0.6118723819082504,0.5440469696140966
syz_open_dev socketpair ioctl,0.6118723819082504,0.5440469696140966
socketpair ioctl ioctl ioctl,0.6118723819082504,0.5440469696140966
socketpair ioctl ioctl,0.6118723819082504,0.5440469696140966
syz_open_dev socketpair ioctl ioctl,0.6118723819082504,0.5440469696140966
syz_open_dev syz_open_dev,0.61001205365778,0.5758689583696663
syz_open_dev syz_open_dev ioctl,0.61001205365778,0.5758689583696663
syz_open_dev fcntl ioctl,0.6068127310998381,0.5887551694200897
fcntl ioctl,0.6068127310998381,0.5887551694200897
perf_event_open io_uring_setup io_uring_register,0.6057387278829478,0.5773502691896258
mount read,0.6014139671147751,0.6570998589680836
openat mount read,0.6014139671147751,0.6570998589680836
syz_io_uring_setup socket,0.6013993192476412,0.6220084679281462
openat syz_usb_connect,0.6006872428372083,0.5773502691896258
socket connect connect,0.6006872428372083,0.5773502691896258
connect connect,0.6006872428372083,0.5773502691896258
openat syz_usb_connect syz_usb_connect,0.6006872428372083,0.5773502691896258
write setsockopt,0.6006836671892359,0.6251787482825193
socket bind listen setsockopt,0.5989741108474617,0.5773502691896258
listen setsockopt socket sendto,0.5989741108474617,0.5773502691896258
setsockopt socket sendto,0.5989741108474617,0.5773502691896258
socket sendto,0.5989741108474617,0.5773502691896258
bind listen setsockopt socket,0.5989741108474617,0.5773502691896258
bind listen setsockopt,0.5989741108474617,0.5773502691896258
listen setsockopt socket,0.5989741108474617,0.5773502691896258
listen setsockopt,0.5989741108474617,0.5773502691896258
sendmsg ioctl,0.5923790737539681,0.5644220523524691
io_uring_setup io_uring_register io_uring_enter,0.5910337799624741,0.5773502691896258
socketpair socketpair sendmsg,0.5910337799624741,0.5773502691896258
io_uring_register io_uring_enter,0.5910337799624741,0.5773502691896258
socketpair sendmsg,0.5910337799624741,0.5773502691896258
mmap openat,0.5910337799624741,0.5773502691896258
mmap openat writev,0.5910337799624741,0.5773502691896258
open ftruncate,0.5900755212730245,0.6539787066260871
openat mount openat,0.5788491692501525,0.5773502691896258
openat mount openat mount_setattr,0.5788491692501525,0.5773502691896258
openat mount_setattr,0.5788491692501525,0.5773502691896258
mount openat mount_setattr,0.5788491692501525,0.5773502691896258
mount openat,0.5788491692501525,0.5773502691896258
openat openat mount openat,0.5788491692501525,0.5773502691896258
openat openat mount,0.5788491692501525,0.5773502691896258
mknod mount,0.5773502691896257,0.5773502691896258
syz_mount_image fspick fsconfig,0.5773502691896257,0.5773502691896258
fspick fsconfig,0.5773502691896257,0.5773502691896258
io_uring_setup prlimit64 sched_setattr,0.5773502691896257,0.5773502691896258
io_uring_setup prlimit64,0.5773502691896257,0.5773502691896258
prlimit64 sched_setattr,0.5773502691896257,0.5773502691896258
syz_mount_image fspick,0.5773502691896257,0.5773502691896258
syz_read_part_table mknod mount,0.5773502691896257,0.5773502691896258
syz_read_part_table mknod,0.5773502691896257,0.5773502691896258
write creat,0.5721923609017601,0.593943628640915
setsockopt setsockopt,0.5677208240693065,0.5502637911519894
pipe socket,0.5666996173139276,0.6313538859247959
getsockname sendmsg sendmsg sendmmsg,0.5646136613325161,0.48180568749714003
sendmsg sendmsg sendmmsg,0.5646136613325161,0.48180568749714003
memfd_create pwritev ioctl sendfile,0.5634921159733124,0.5468740243419741
pwritev ioctl sendfile,0.5634921159733124,0.5468740243419741
ioctl clone ioctl,0.5580381759755383,0.5772791414095664
ioctl clone,0.5580381759755383,0.5772791414095664
clone ioctl,0.5580381759755383,0.5772791414095664
open ioctl,0.5554680458307193,0.5345224838248488
syz_genetlink_get_family_id ioctl sendmsg,0.5462662922310972,0.5231053611601699
socket syz_genetlink_get_family_id ioctl sendmsg,0.5462662922310972,0.5231053611601699
write ioctl ioctl,0.5450852505464195,0.5471169890838451
ioctl perf_event_open,0.5438586606342042,0.5863733863380126
ioctl sendfile ioctl,0.5339164677693249,0.5122819323447919
sendfile ioctl,0.5339164677693249,0.5122819323447919
close socket,0.533711616363787,0.5692711313158189
write splice,0.5212380120153413,0.5816694102347095
perf_event_open syz_io_uring_setup,0.5178120537725615,0.5468740243419741
sendmsg syz_genetlink_get_family_id,0.5102918910287306,0.5157582772011178
open creat ftruncate,0.5078492317620176,0.5163977794943222
fchdir open,0.5078492317620176,0.5163977794943222
fchdir open creat ftruncate,0.5078492317620176,0.5163977794943222
open creat,0.5078492317620176,0.5163977794943222
fchdir open creat,0.5078492317620176,0.5163977794943222
open fchdir,0.5078492317620176,0.5163977794943222
open fchdir open,0.5078492317620176,0.5163977794943222
open fchdir open creat,0.5078492317620176,0.5163977794943222
ioctl ioctl ioctl ioctl,0.4962470952787425,0.39056673294247163
syz_io_uring_setup syz_memcpy_off socketpair,0.49507116119464323,0.5163977794943222
syz_memcpy_off socketpair,0.49507116119464323,0.5163977794943222
socket setsockopt sendto,0.4938068165311674,0.4971895486518877
setsockopt sendto,0.4938068165311674,0.4971895486518877
syz_usb_control_io syz_usb_control_io syz_usb_control_io,0.48836553709385916,0.48507125007266594
setsockopt socket setsockopt,0.48066566549329953,0.45768510646636973
socket setsockopt socket,0.48066566549329953,0.45768510646636973
sendmsg ioctl ioctl,0.4726138069020891,0.4082482904638631
socket sendmsg ioctl,0.4726138069020891,0.4082482904638631
socket sendmsg ioctl ioctl,0.4726138069020891,0.4082482904638631
ioctl ioctl openat,0.46788906735362473,0.438651760174517
syz_mount_image openat write mmap,0.4646596085621042,0.4712493204298683
ioctl ioctl socket,0.4641846121417256,0.4417985622426614
open open mmap,0.4626457598857302,0.45392015063150826
open open mmap fallocate,0.4626457598857302,0.45392015063150826
mmap fallocate write,0.4607255990892504,0.45392015063150826
mmap fallocate write ioctl,0.4607255990892504,0.45392015063150826
fallocate write ioctl,0.4607255990892504,0.45392015063150826
open mmap fallocate write,0.4607255990892504,0.45392015063150826
fallocate write,0.4607255990892504,0.45392015063150826
syz_mount_image syz_mount_image openat,0.4603351732075786,0.4082482904638631
syz_mount_image syz_mount_image openat write,0.4603351732075786,0.4082482904638631
mkdirat openat mount,0.45934529892308085,0.47140452079103173
mkdirat openat mount read,0.45934529892308085,0.47140452079103173
mkdirat openat,0.45934529892308085,0.47140452079103173
socket socket bind,0.45820666654686937,0.45392015063150826
ioctl write ioctl,0.45706697175208577,0.47361221499321543
prlimit64 sched_setscheduler,0.4535678677942614,0.47641677998315346
syz_genetlink_get_family_id socket sendmsg,0.4520462846624169,0.42008402520840293
syz_genetlink_get_family_id socket,0.4520462846624169,0.42008402520840293
ioctl perf_event_open write,0.4494903564239502,0.45392015063150826
perf_event_open write,0.4494903564239502,0.45392015063150826
syz_io_uring_setup syz_io_uring_submit syz_io_uring_submit,0.4478708771394867,0.4082482904638631
syz_io_uring_setup syz_io_uring_submit syz_io_uring_submit io_uring_enter,0.4478708771394867,0.4082482904638631
socketpair socket sendmsg,0.44062191680907636,0.4082482904638631
socketpair socketpair socket sendmsg,0.44062191680907636,0.4082482904638631
socketpair socket,0.44062191680907636,0.4082482904638631
socketpair socketpair socket,0.44062191680907636,0.4082482904638631
openat syz_io_uring_setup,0.43781450342038897,0.4082482904638631
openat openat syz_io_uring_setup syz_io_uring_submit,0.43781450342038897,0.4082482904638631
openat openat syz_io_uring_setup,0.43781450342038897,0.4082482904638631
openat syz_io_uring_setup syz_io_uring_submit,0.43781450342038897,0.4082482904638631
getsockname socket setsockopt,0.43773575678114596,0.4082482904638631
setsockopt getsockname socket,0.43773575678114596,0.4082482904638631
setsockopt getsockname socket setsockopt,0.43773575678114596,0.4082482904638631
setsockopt getsockname,0.43773575678114596,0.4082482904638631
syz_init_net_socket syz_init_net_socket syz_genetlink_get_family_id sendmsg,0.4346908282242771,0.4082482904638631
syz_init_net_socket syz_genetlink_get_family_id sendmsg,0.4346908282242771,0.4082482904638631
syz_memcpy_off syz_io_uring_submit,0.42942298063664097,0.4082482904638631
syz_memcpy_off syz_io_uring_submit io_uring_enter,0.42942298063664097,0.4082482904638631
syz_io_uring_setup syz_memcpy_off syz_io_uring_submit,0.42942298063664097,0.4082482904638631
syz_io_uring_setup syz_memcpy_off syz_io_uring_submit io_uring_enter,0.42942298063664097,0.4082482904638631
open write,0.4291140987619729,0.45064897947703636
syz_open_dev ioctl syz_open_dev ioctl,0.42886000772478644,0.35355339059327373
ioctl syz_open_dev ioctl,0.42886000772478644,0.35355339059327373
write write write,0.4266051841854329,0.35355339059327373
openat write write write,0.4266051841854329,0.35355339059327373
socket connect recvmmsg shutdown,0.42652477538152034,0.4082482904638631
connect recvmmsg shutdown,0.42652477538152034,0.4082482904638631
recvmmsg shutdown,0.42652477538152034,0.4082482904638631
syz_mount_image creat write creat,0.4258541837488335,0.4082482904638631
creat write creat,0.4258541837488335,0.4082482904638631
syz_mount_image creat write,0.4258541837488335,0.4082482904638631
creat write,0.4258541837488335,0.4082482904638631
socket syz_open_dev fcntl ioctl,0.4245355111036693,0.4061809835850343
mmap socket syz_open_dev fcntl,0.4245355111036693,0.4061809835850343
fcntl ioctl ioctl,0.4245355111036693,0.4061809835850343
mmap socket syz_open_dev,0.4245355111036693,0.4061809835850343
socket syz_open_dev fcntl,0.4245355111036693,0.4061809835850343
syz_open_dev fcntl ioctl ioctl,0.4245355111036693,0.4061809835850343
pipe openat2,0.42310734694692137,0.41702882811414954
syz_init_net_socket ioctl,0.4230271651470965,0.4082482904638631
syz_init_net_socket ioctl clone,0.4230271651470965,0.4082482904638631
syz_init_net_socket ioctl clone ioctl,0.4230271651470965,0.4082482904638631
sendmsg sendmsg socket,0.4224173693556836,0.39065212545366546
syz_mount_image setxattr chdir openat,0.4212955394678352,0.4082482904638631
syz_mount_image setxattr chdir,0.4212955394678352,0.4082482904638631
setxattr chdir openat,0.4212955394678352,0.4082482904638631
setxattr chdir,0.4212955394678352,0.4082482904638631
bind connect,0.4198705332334245,0.4398264056274474
openat ioctl openat,0.41655726076383043,0.35355339059327373
ioctl openat ioctl,0.41655726076383043,0.35355339059327373
openat ioctl openat ioctl,0.41655726076383043,0.35355339059327373
socketpair sendmmsg,0.4162540377129893,0.4082482904638631
socket socketpair sendmmsg dup2,0.4162540377129893,0.4082482904638631
socket socketpair sendmmsg,0.4162540377129893,0.4082482904638631
chdir rename openat,0.4162540377129893,0.4082482904638631
sendmmsg dup2,0.4162540377129893,0.4082482904638631
chdir rename,0.4162540377129893,0.4082482904638631
socketpair sendmmsg dup2,0.4162540377129893,0.4082482904638631
rename openat,0.4162540377129893,0.4082482904638631
syz_mount_image chdir rename openat,0.4162540377129893,0.4082482904638631
syz_mount_image chdir rename,0.4162540377129893,0.4082482904638631
mount mount setxattr,0.4130011612609898,0.4082482904638631
syz_mount_image mount mount setxattr,0.4130011612609898,0.4082482904638631
socket write,0.4130011612609898,0.4082482904638631
socket write setsockopt,0.4130011612609898,0.4082482904638631
syz_usb_connect syz_usb_ep_write,0.4130011612609898,0.4082482904638631
syz_usb_connect_ath9k syz_usb_ep_write syz_usb_connect,0.4130011612609898,0.4082482904638631
syz_usb_connect_ath9k syz_usb_ep_write syz_usb_connect syz_usb_ep_write,0.4130011612609898,0.4082482904638631
mount mount,0.4130011612609898,0.4082482904638631
socket write setsockopt sendmsg,0.4130011612609898,0.4082482904638631
write setsockopt sendmsg,0.4130011612609898,0.4082482904638631
syz_usb_ep_write syz_usb_connect,0.4130011612609898,0.4082482904638631
setsockopt sendmsg,0.4130011612609898,0.4082482904638631
mount setxattr,0.4130011612609898,0.4082482904638631
syz_usb_ep_write syz_usb_connect syz_usb_ep_write,0.4130011612609898,0.4082482904638631
syz_mount_image mount mount,0.4130011612609898,0.4082482904638631
mount read write,0.40927147112011353,0.42139759857256776
openat mount read write,0.40927147112011353,0.42139759857256776
read write,0.40927147112011353,0.42139759857256776
shmctl write,0.408248290463863,0.4082482904638631
openat setsockopt,0.408248290463863,0.4082482904638631
recvmmsg syz_init_net_socket,0.408248290463863,0.4082482904638631
setsockopt shmctl write,0.408248290463863,0.4082482904638631
openat setsockopt shmctl,0.408248290463863,0.4082482904638631
openat setsockopt shmctl write,0.408248290463863,0.4082482904638631
setsockopt shmctl,0.408248290463863,0.4082482904638631
bind sendmmsg,0.408248290463863,0.4082482904638631
recvmmsg syz_init_net_socket bind,0.408248290463863,0.4082482904638631
clone perf_event_open unshare,0.408248290463863,0.4082482904638631
unshare timer_settime,0.408248290463863,0.4082482904638631
recvmmsg syz_init_net_socket bind sendmmsg,0.408248290463863,0.4082482904638631
syz_init_net_socket bind,0.408248290463863,0.4082482904638631
syz_init_net_socket bind sendmmsg,0.408248290463863,0.4082482904638631
clone perf_event_open,0.408248290463863,0.4082482904638631
clone perf_event_open unshare timer_settime,0.408248290463863,0.4082482904638631
perf_event_open unshare,0.408248290463863,0.4082482904638631
perf_event_open unshare timer_settime,0.408248290463863,0.4082482904638631
socket ioctl sendmsg socket,0.4030574774075513,0.3333333333333333
ioctl sendmsg socket sendmmsg,0.4030574774075513,0.3333333333333333
open open ftruncate sendfile,0.4022496140003422,0.41827644623057125
open open ftruncate,0.4022496140003422,0.41827644623057125
open ftruncate sendfile,0.4022496140003422,0.41827644623057125
write sendfile,0.3965895007460732,0.4143726516357672
syz_open_dev ioctl ioctl socket,0.38290040278701815,0.3333333333333333
ioctl ioctl socket listen,0.38290040278701815,0.3333333333333333
socket listen,0.38290040278701815,0.3333333333333333
ioctl socket listen,0.38290040278701815,0.3333333333333333
socket socketpair ioctl,0.38123465775918564,0.37439165212459846
socket syz_open_dev syz_open_dev,0.3811814803073261,0.3333333333333333
syz_open_dev syz_open_dev ioctl ioctl,0.3811814803073261,0.3333333333333333
socket syz_open_dev syz_open_dev ioctl,0.3811814803073261,0.3333333333333333
syz_fuse_handle_req syz_fuse_handle_req,0.3803829287735472,0.3713906763541037
socket ioctl setsockopt setsockopt,0.3775120190742493,0.3333333333333333
ioctl setsockopt,0.3775120190742493,0.3333333333333333
socket ioctl setsockopt,0.3775120190742493,0.3333333333333333
ioctl setsockopt setsockopt,0.3775120190742493,0.3333333333333333
socket socket ioctl setsockopt,0.3775120190742493,0.3333333333333333
openat ioctl write,0.3683594616844526,0.3333333333333333
openat ioctl write syz_open_pts,0.3683594616844526,0.3333333333333333
ioctl pread64,0.3594711247132959,0.3333333333333333
ioctl pread64 socket sendmsg,0.3594711247132959,0.3333333333333333
ioctl pread64 socket,0.3594711247132959,0.3333333333333333
syz_open_dev ioctl pread64 socket,0.3594711247132959,0.3333333333333333
pread64 socket,0.3594711247132959,0.3333333333333333
syz_open_dev ioctl pread64,0.3594711247132959,0.3333333333333333
pread64 socket sendmsg,0.3594711247132959,0.3333333333333333
syz_mount_image setxattr setxattr,0.35662700649810297,0.35355339059327373
syz_mount_image setxattr setxattr setxattr,0.35662700649810297,0.35355339059327373
setxattr setxattr setxattr,0.35662700649810297,0.35355339059327373
memfd_create ftruncate,0.35593900175913273,0.3333333333333333
ftruncate ioctl ioctl,0.35593900175913273,0.3333333333333333
memfd_create ftruncate ioctl ioctl,0.35593900175913273,0.3333333333333333
syz_open_dev memfd_create ftruncate ioctl,0.35593900175913273,0.3333333333333333
memfd_create ftruncate ioctl,0.35593900175913273,0.3333333333333333
syz_open_dev memfd_create ftruncate,0.35593900175913273,0.3333333333333333
open_by_handle_at open_by_handle_at,0.35434971592096776,0.3333333333333333
syz_mount_image open open open_by_handle_at,0.35434971592096776,0.3333333333333333
open open_by_handle_at open_by_handle_at,0.35434971592096776,0.3333333333333333
open open_by_handle_at,0.35434971592096776,0.3333333333333333
open open open_by_handle_at open_by_handle_at,0.35434971592096776,0.3333333333333333
open open open_by_handle_at,0.35434971592096776,0.3333333333333333
socket setsockopt socket setsockopt,0.35233859230656056,0.30151134457776363
mmap socket setsockopt socket,0.35233859230656056,0.30151134457776363
socket syz_io_uring_submit syz_io_uring_submit io_uring_enter,0.3483762545810038,0.3333333333333333
socket syz_io_uring_submit syz_io_uring_submit,0.3483762545810038,0.3333333333333333
syz_io_uring_setup socket syz_io_uring_submit syz_io_uring_submit,0.3483762545810038,0.3333333333333333
socket syz_io_uring_submit,0.3483762545810038,0.3333333333333333
syz_io_uring_setup socket syz_io_uring_submit,0.3483762545810038,0.3333333333333333
syz_init_net_socket syz_init_net_socket syz_genetlink_get_family_id syz_genetlink_get_family_id,0.3472675659619872,0.3333333333333333
syz_init_net_socket syz_genetlink_get_family_id syz_genetlink_get_family_id sendmsg,0.3472675659619872,0.3333333333333333
syz_init_net_socket syz_genetlink_get_family_id syz_genetlink_get_family_id,0.3472675659619872,0.3333333333333333
syz_genetlink_get_family_id syz_genetlink_get_family_id,0.3472675659619872,0.3333333333333333
syz_genetlink_get_family_id syz_genetlink_get_family_id sendmsg,0.3472675659619872,0.3333333333333333
openat mmap,0.3454459461956997,0.3333333333333333
mmap syz_usb_connect syz_usb_connect,0.3454459461956997,0.3333333333333333
openat mmap syz_usb_connect,0.3454459461956997,0.3333333333333333
